d,s,noise,rep,seed,method,fdr,tpr,shd,tp,fp,fn,estimated_edges,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,5,normal,1,1062124,LOCAL_BIC_EXACT,0.06666666666666667,0.7,7,14,1,6,15,0.0,False,1.0
10,5,normal,1,1062124,LOCAL_BIC_GREEDY,0.06666666666666667,0.7,7,14,1,6,15,0.0,False,1.0
10,5,normal,1,1062124,STD_NOTEARS,0.9090909090909091,0.05,21,1,10,19,11,0.0,False,1.0
10,5,normal,1,1062124,STD_LOCAL_BIC_EXACT,0.9090909090909091,0.05,21,1,10,19,11,0.0,False,1.0
10,5,normal,2,1062125,NOTEARS,0.23809523809523808,0.8,8,16,5,4,21,0.0,False,1.0
10,5,normal,2,1062125,LOCAL_BIC_EXACT,0.2,0.8,7,16,4,4,20,0.0,False,1.0
10,5,normal,2,1062125,LOCAL_BIC_GREEDY,0.2,0.8,7,16,4,4,20,0.0,False,1.0
10,5,normal,2,1062125,STD_NOTEARS,0.8,0.1,23,2,8,18,10,0.0,False,1.0
10,5,normal,2,1062125,STD_LOCAL_BIC_EXACT,0.8,0.1,23,2,8,18,10,0.0,False,1.0
10,5,normal,3,1062126,NOTEARS,0.16666666666666666,0.75,8,15,3,5,18,0.0,False,1.0
10,5,normal,3,1062126,LOCAL_BIC_EXACT,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,3,1062126,LOCAL_BIC_GREEDY,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,3,1062126,STD_NOTEARS,0.6428571428571429,0.25,20,5,9,15,14,0.0,False,1.0
10,5,normal,3,1062126,STD_LOCAL_BIC_EXACT,0.6428571428571429,0.25,20,5,9,15,14,0.0,False,1.0
10,5,normal,4,1062127,NOTEARS,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,normal,4,1062127,LOCAL_BIC_EXACT,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,normal,4,1062127,LOCAL_BIC_GREEDY,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,normal,4,1062127,STD_NOTEARS,0.8,0.1,22,2,8,18,10,0.0,False,1.0
10,5,normal,4,1062127,STD_LOCAL_BIC_EXACT,0.8,0.1,22,2,8,18,10,0.0,False,1.0
10,5,normal,5,1062128,NOTEARS,0.15,0.85,6,17,3,3,20,0.0,False,1.0
10,5,normal,5,1062128,LOCAL_BIC_EXACT,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,normal,5,1062128,LOCAL_BIC_GREEDY,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,normal,5,1062128,STD_NOTEARS,0.6666666666666666,0.15,19,3,6,17,9,0.0,False,1.0
10,5,normal,5,1062128,STD_LOCAL_BIC_EXACT,0.6666666666666666,0.15,19,3,6,17,9,0.0,False,1.0
10,5,normal,6,1062129,NOTEARS,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,normal,6,1062129,LOCAL_BIC_EXACT,0.05555555555555555,0.85,4,17,1,3,18,0.0,False,1.0
10,5,normal,6,1062129,LOCAL_BIC_GREEDY,0.05555555555555555,0.85,4,17,1,3,18,0.0,False,1.0
10,5,normal,6,1062129,STD_NOTEARS,0.8,0.1,22,2,8,18,10,0.0,False,1.0
10,5,normal,6,1062129,STD_LOCAL_BIC_EXACT,0.7777777777777778,0.1,21,2,7,18,9,0.0,False,1.0
10,5,normal,7,1062130,NOTEARS,0.3333333333333333,0.9,11,18,9,2,27,0.0,False,1.0
10,5,normal,7,1062130,LOCAL_BIC_EXACT,0.1,0.9,4,18,2,2,20,0.0,False,1.0
10,5,normal,7,1062130,LOCAL_BIC_GREEDY,0.1,0.9,4,18,2,2,20,0.0,False,1.0
10,5,normal,7,1062130,STD_NOTEARS,0.8,0.1,21,2,8,18,10,0.0,False,1.0
10,5,normal,7,1062130,STD_LOCAL_BIC_EXACT,0.8,0.1,21,2,8,18,10,0.0,False,1.0
10,5,normal,8,1062131,NOTEARS,0.1111111111111111,0.8,6,16,2,4,18,0.0,False,1.0
10,5,normal,8,1062131,LOCAL_BIC_EXACT,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,5,normal,8,1062131,LOCAL_BIC_GREEDY,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,5,normal,8,1062131,STD_NOTEARS,0.75,0.1,22,2,6,18,8,0.0,False,1.0
10,5,normal,8,1062131,STD_LOCAL_BIC_EXACT,0.75,0.1,22,2,6,18,8,0.0,False,1.0
10,5,normal,9,1062132,NOTEARS,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,9,1062132,LOCAL_BIC_EXACT,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,9,1062132,LOCAL_BIC_GREEDY,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,9,1062132,STD_NOTEARS,0.7777777777777778,0.1,21,2,7,18,9,0.0,False,1.0
10,5,normal,9,1062132,STD_LOCAL_BIC_EXACT,0.7777777777777778,0.1,21,2,7,18,9,0.0,False,1.0
10,5,normal,10,1062133,NOTEARS,0.15,0.85,6,17,3,3,20,0.0,False,1.0
10,5,normal,10,1062133,LOCAL_BIC_EXACT,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,normal,10,1062133,LOCAL_BIC_GREEDY,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,normal,10,1062133,STD_NOTEARS,0.5833333333333334,0.25,19,5,7,15,12,0.0,False,1.0
10,5,normal,10,1062133,STD_LOCAL_BIC_EXACT,0.5833333333333334,0.25,19,5,7,15,12,0.0,False,1.0
10,5,normal,11,1062134,NOTEARS,0.21052631578947367,0.75,9,15,4,5,19,0.0,False,1.0
10,5,normal,11,1062134,LOCAL_BIC_EXACT,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,11,1062134,LOCAL_BIC_GREEDY,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,normal,11,1062134,STD_NOTEARS,0.8,0.1,20,2,8,18,10,0.0,False,1.0
10,5,normal,11,1062134,STD_LOCAL_BIC_EXACT,0.8,0.1,20,2,8,18,10,0.0,False,1.0
10,5,normal,12,1062135,NOTEARS,0.0625,0.75,6,15,1,5,16,0.0,False,1.0
10,5,normal,12,1062135,LOCAL_BIC_EXACT,0.0,0.75,5,15,0,5,15,0.0,False,1.0
10,5,normal,12,1062135,LOCAL_BIC_GREEDY,0.0,0.75,5,15,0,5,15,0.0,False,1.0
10,5,normal,12,1062135,STD_NOTEARS,0.625,0.15,18,3,5,17,8,0.0,False,1.0
10,5,normal,12,1062135,STD_LOCAL_BIC_EXACT,0.625,0.15,18,3,5,17,8,0.0,False,1.0
10,5,normal,13,1062136,NOTEARS,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,normal,13,1062136,LOCAL_BIC_EXACT,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,normal,13,1062136,LOCAL_BIC_GREEDY,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,normal,13,1062136,STD_NOTEARS,0.5454545454545454,0.25,17,5,6,15,11,0.0,False,1.0
10,5,normal,13,1062136,STD_LOCAL_BIC_EXACT,0.5454545454545454,0.25,17,5,6,15,11,0.0,False,1.0
10,5,normal,14,1062137,NOTEARS,0.15,0.85,6,17,3,3,20,0.0,False,1.0
10,5,normal,14,1062137,LOCAL_BIC_EXACT,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,5,normal,14,1062137,LOCAL_BIC_GREEDY,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,5,normal,14,1062137,STD_NOTEARS,0.5454545454545454,0.25,18,5,6,15,11,0.0,False,1.0
10,5,normal,14,1062137,STD_LOCAL_BIC_EXACT,0.5454545454545454,0.25,18,5,6,15,11,0.0,False,1.0
10,5,normal,15,1062138,NOTEARS,0.09523809523809523,0.95,3,19,2,1,21,0.0,False,1.0
10,5,normal,15,1062138,LOCAL_BIC_EXACT,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,5,normal,15,1062138,LOCAL_BIC_GREEDY,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,5,normal,15,1062138,STD_NOTEARS,0.8181818181818182,0.1,21,2,9,18,11,0.0,False,1.0
10,5,normal,15,1062138,STD_LOCAL_BIC_EXACT,0.8181818181818182,0.1,21,2,9,18,11,0.0,False,1.0
10,5,normal,16,1062139,NOTEARS,0.3125,0.55,13,11,5,9,16,0.0,False,1.0
10,5,normal,16,1062139,LOCAL_BIC_EXACT,0.15384615384615385,0.55,10,11,2,9,13,0.0,False,1.0
10,5,normal,16,1062139,LOCAL_BIC_GREEDY,0.15384615384615385,0.55,10,11,2,9,13,0.0,False,1.0
10,5,normal,16,1062139,STD_NOTEARS,0.6666666666666666,0.15,20,3,6,17,9,0.0,False,1.0
10,5,normal,16,1062139,STD_LOCAL_BIC_EXACT,0.6666666666666666,0.15,20,3,6,17,9,0.0,False,1.0
10,5,normal,17,1062140,NOTEARS,0.05,0.95,2,19,1,1,20,0.0,False,1.0
10,5,normal,17,1062140,LOCAL_BIC_EXACT,0.05,0.95,2,19,1,1,20,0.0,False,1.0
