method,fdr,tpr,shd,edges,tp,fp,fn,greedy_suboptimal_frequency,greedy_bic_gap_mean
LOCAL_BIC_EXACT,0.07685517563082041,0.8433333333333334,6.458333333333333,27.495833333333334,25.345833333333335,2.15,4.654166666666667,0.025,0.05917474093251182
LOCAL_BIC_GREEDY,0.07727563136360116,0.8433333333333334,6.475,27.516666666666666,25.345833333333335,2.1708333333333334,4.654166666666667,0.025,0.05917474093251182
NOTEARS,0.1337221854196752,0.8464583333333333,9.0375,30.295833333333334,25.45,4.845833333333333,4.55,0.025,0.05917474093251182
STD_LOCAL_BIC_EXACT,0.679914697664176,0.17302083333333332,29.3375,16.166666666666668,5.295833333333333,10.870833333333334,24.704166666666666,0.025,0.05917474093251182
STD_NOTEARS,0.6810872264465924,0.17302083333333332,29.391666666666666,16.229166666666668,5.295833333333333,10.933333333333334,24.704166666666666,0.025,0.05917474093251182
