method,setting,rep,seed,d,n,name,true_edges,true_max_indegree,candidate_max_indegree,false_positive_ratio,missing_ratio,reversal_ratio,weak_fraction,error_regime,missing_achieved,reversals_achieved,false_positive_additions_achieved,varsortability,error_scale_ratio,candidate_edges,candidate_max_indegree_achieved,candidate_enumeration_fits,initial_pruning_pressure,candidate_bic,exact_bic,greedy_bic,candidate_to_exact_bic_improvement,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard,exact_greedy_disagreement_edges,exact_runtime_seconds,greedy_runtime_seconds,exact_score_evaluations,greedy_score_evaluations,edges,true_positives,false_positives,false_negatives,reversals,fdr,tpr,shd
Candidate,clean_sparse,50,48151673,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9538461538461539,1.0,20,3,57,0.0,-25.452371326399366,-25.452371326399366,-25.452371326399366,0.0,0.0,False,1.0,0,0.008951100055128336,0.01137880003079772,57,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,50,48151673,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9538461538461539,1.0,20,3,57,0.0,-25.452371326399366,-25.452371326399366,-25.452371326399366,0.0,0.0,False,1.0,0,0.008951100055128336,0.01137880003079772,57,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,50,48151673,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9538461538461539,1.0,20,3,57,0.0,-25.452371326399366,-25.452371326399366,-25.452371326399366,0.0,0.0,False,1.0,0,0.008951100055128336,0.01137880003079772,57,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,51,48151674,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.8478260869565217,1.0,20,3,54,0.0,234.39384734933162,234.39384734933162,234.39384734933162,0.0,0.0,False,1.0,0,0.009938400005921721,0.01291519997175783,54,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,51,48151674,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.8478260869565217,1.0,20,3,54,0.0,234.39384734933162,234.39384734933162,234.39384734933162,0.0,0.0,False,1.0,0,0.009938400005921721,0.01291519997175783,54,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,51,48151674,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.8478260869565217,1.0,20,3,54,0.0,234.39384734933162,234.39384734933162,234.39384734933162,0.0,0.0,False,1.0,0,0.009938400005921721,0.01291519997175783,54,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,52,48151675,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9591836734693877,1.0,20,3,57,0.0,-24.4112894164433,-24.4112894164433,-24.4112894164433,0.0,0.0,False,1.0,0,0.009104599943384528,0.010658300016075373,57,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,52,48151675,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9591836734693877,1.0,20,3,57,0.0,-24.4112894164433,-24.4112894164433,-24.4112894164433,0.0,0.0,False,1.0,0,0.009104599943384528,0.010658300016075373,57,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,52,48151675,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9591836734693877,1.0,20,3,57,0.0,-24.4112894164433,-24.4112894164433,-24.4112894164433,0.0,0.0,False,1.0,0,0.009104599943384528,0.010658300016075373,57,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,53,48151676,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9642857142857143,1.0,20,3,51,0.0,287.6686847340925,287.6686847340925,287.6686847340925,0.0,0.0,False,1.0,0,0.008899600012227893,0.011188399977982044,51,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,53,48151676,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9642857142857143,1.0,20,3,51,0.0,287.6686847340925,287.6686847340925,287.6686847340925,0.0,0.0,False,1.0,0,0.008899600012227893,0.011188399977982044,51,40,20,20,0,0,0,0.0,1.0,0
