analysis,notears_edges,bp_edges,notears_jaccard_vs_original,bp_jaccard_vs_original,mortality_incoming_edges,mortality_outgoing_edges
original units,190,92,1.0,1.0,4,0
HeadIn and final_inventory divided by 1000,156,90,0.49783549783549785,0.5294117647058824,5,0
