analysis,n,candidate_edges,partial_r2_cutoff,initial_edges_below_cutoff,initial_pruning_pressure
original-scale NOTEARS candidate,2556,190,0.003065011079990465,106,0.5578947368421052
standardized NOTEARS candidate,2556,20,0.003065011079990465,0,0.0
