method,fdr,tpr,shd,edges,tp,fp,fn
Standardized NOTEARS,0.6950320512820513,0.1575,20.3,10.3,3.15,7.15,16.85
Standardized NOTEARS-BP,0.6950320512820513,0.1575,20.3,10.3,3.15,7.15,16.85
