from,to,weight,status,partial_R2_relevant_step,delta_BIC_relevant_step,BIC_partial_R2_cutoff,t_abs_if_retained_final,p_two_sided_if_retained_final
PRRS_binary,mortality_60days,0.3921143762882243,retained,0.11766832250780423,312.1323919577648,0.003065011079990465,18.444592919832292,2.0672752799999797e-71
MYCO_binary,mortality_60days,0.5578817748706163,retained,0.04335202676015759,105.43520808003606,0.003065011079990465,10.751866280319259,2.1170746096221057e-26
Q3,mortality_60days,-0.3690764085263235,retained,0.012692720013145142,24.804044886902247,0.003065011079990465,5.726726069513897,1.1438612085090544e-08
Stillborn_avg,mortality_60days,0.3438324057509149,retained,0.018738192203056836,40.503037206131594,0.003065011079990465,6.9795371960302175,3.761150861327468e-12
mortality_60days,mated_inventory_20wks,-2.824434168642749,removed,0.0011575062606214992,-4.885899199965934,0.003065011079990465,,
mortality_60days,PWMFyear,-2.257954753381801,removed,0.00020043891756071908,-7.333825590729248,0.003065011079990465,,
mortality_60days,final_inventory,1.347405354332191,removed,0.00039034954716399284,-6.848270589856838,0.003065011079990465,,
mortality_60days,HeadIn,2.250929624899097,removed,4.641291364571032e-06,-7.834335647239641,0.003065011079990465,,
