method,fdr,tpr,shd,mean_edges,mean_runtime_seconds
HC_BIC,0.5990913274767651,0.5607291666666666,31.733333333333334,45.3,1.1750114270821845
NOTEARS,0.12475179860032609,0.861875,8.325,30.479166666666668,14.803386842499519
NOTEARS_BP,0.07047300204262982,0.8585416666666668,5.875,27.795833333333334,14.809121239998968
STD_NOTEARS,0.6824765363790972,0.17645833333333333,29.641666666666666,16.6875,7.1507861129164665
