weight_kind,d,s,varsortability_mean,varsortability_sd,sd_ratio_median,sd_ratio_mean
modnormal,10,1,0.9738817511850237,0.01927306665765794,9.788372649671249,10.79887336369099
modnormal,10,2,0.9776564759265698,0.01972071993238572,50.22015008246577,98.9511517588246
modnormal,10,3,0.9853079553048255,0.02372479857757894,209.83636008272586,361.22770898934596
modnormal,10,4,0.9954489005872202,0.006534930963769713,335.55404373061924,6887.6400801751315
modnormal,20,1,0.9838214806688776,0.013180212051171085,15.545573076483844,22.83525908981464
modnormal,20,2,0.9884759379490362,0.013048595676052927,94.29645050441877,292.63234931231534
modnormal,20,3,0.9922852402558624,0.0079236818501762615,438.1360196906803,4187.985252996876
modnormal,20,4,0.9948793124782022,0.004759651309164639,1561.0025382072258,7576.535900479859
modnormal,40,1,0.9830492249410561,0.005621234684701125,31.335162218507634,35.944696836405555
modnormal,40,2,0.9889425000854905,0.008776821028778104,308.71936936819253,513.7711467279387
modnormal,40,3,0.9931543847258675,0.0050489338674496575,1548.098558784108,7646.775816364946
modnormal,40,4,0.9952642493523302,0.004268807117233752,4439.423867905891,9636.511918105996
uniform,10,1,0.9710066457207709,0.02122749480475198,2.7348196698101646,3.211939285903982
uniform,10,4,0.9910511518598915,0.018002629378347727,64.32249226879149,232.03579396684887
uniform,10,7,0.9943222690125525,0.010657636018786575,302.5883313758262,1316.0022009168129
uniform,10,10,0.9926610281878571,0.017858028769590174,685.2846325979758,11638.109301821843
uniform,20,1,0.9733233356325488,0.017208258908207184,4.030692459745903,3.9739390042157035
uniform,20,4,0.9948798877547173,0.00782245537569373,132.6413952556741,244.34731953587803
uniform,20,7,0.9938453986598402,0.006695139401348293,1382.4925093350025,11778.38808194614
uniform,20,10,0.9975648617779937,0.003405836379230618,16258.906437126436,168241.09748450428
uniform,40,1,0.9784332792956917,0.010811904713608446,3.9529007070560485,4.077176351721976
uniform,40,4,0.9929418587698858,0.005773372840984717,903.8458395757937,1973.3671924352209
uniform,40,7,0.9945648142520096,0.006593678569234908,12672.994367753436,46933.35594839012
uniform,40,10,0.9984863822910249,0.001497849011212629,82272.4341963277,256241.69019076732
