d,lambda1,threshold,n,candidate_edges,exact_edges,candidate_fdr,exact_fdr,candidate_tpr,exact_tpr,candidate_shd,exact_shd,deletion_fraction,delta_fdr,delta_tpr,delta_shd
10,0.05,0.2,120,21.333333333333332,19.5,0.12523322326276684,0.05561203285199616,0.9191666666666667,0.91875,4.141666666666667,2.325,0.07345197853719906,-0.0696211904107707,-0.000416666666666667,-1.8166666666666667
10,0.05,0.3,120,19.9,18.908333333333335,0.08466120976216285,0.046591248098643095,0.9008333333333333,0.9,3.5083333333333333,2.55,0.040853816336275176,-0.03806996166351975,-0.0008333333333333332,-0.9583333333333334
10,0.05,0.4,120,19.033333333333335,18.45,0.07020351148243528,0.048285832087613945,0.87875,0.8775,3.566666666666667,3.033333333333333,0.02518124113555306,-0.02191767939482133,-0.0012500000000000002,-0.5333333333333333
10,0.1,0.2,120,20.525,18.783333333333335,0.1550330746520931,0.08884697725448497,0.8570833333333333,0.85625,5.866666666666666,4.158333333333333,0.07495935437800301,-0.06618609739760813,-0.000833333333333334,-1.7083333333333333
10,0.1,0.3,120,18.95,17.833333333333332,0.11252476618994374,0.06741125253315654,0.8345833333333333,0.8320833333333333,5.258333333333334,4.241666666666666,0.05246026994294481,-0.045113513656787195,-0.0025000000000000005,-1.0166666666666666
10,0.1,0.4,120,17.741666666666667,17.075,0.08132694860285214,0.05525512713980205,0.8095833333333334,0.8066666666666666,5.125,4.575,0.03247585799009274,-0.026071821463050093,-0.0029166666666666672,-0.55
10,0.2,0.2,120,18.866666666666667,17.533333333333335,0.19489099043603908,0.14069905273175393,0.7529166666666666,0.7516666666666667,8.35,7.066666666666666,0.06516136856387057,-0.05419193770428514,-0.0012500000000000002,-1.2833333333333334
10,0.2,0.3,120,17.408333333333335,16.466666666666665,0.15328627301945547,0.11242948546837864,0.7308333333333333,0.7291666666666666,7.85,6.975,0.04958820367331774,-0.04085678755107682,-0.0016666666666666663,-0.875
10,0.2,0.4,120,15.908333333333333,15.241666666666667,0.11692418970703394,0.08748286410728359,0.6962499999999999,0.6929166666666667,7.866666666666666,7.333333333333333,0.03815871376078839,-0.029441325599750354,-0.0033333333333333344,-0.5333333333333333
20,0.05,0.2,15,50.6,39.0,0.33856923607999917,0.16751871172923802,0.81,0.8066666666666666,25.533333333333335,14.266666666666667,0.2182696650052565,-0.17105052435076118,-0.003333333333333336,-11.266666666666667
20,0.05,0.3,15,44.266666666666666,37.0,0.28102990665514926,0.16203217521328975,0.7833333333333333,0.7799999999999999,21.333333333333332,14.4,0.1556976774530715,-0.1189977314418595,-0.003333333333333336,-6.933333333333334
20,0.05,0.4,15,39.6,34.6,0.23536520639420438,0.1491842263165467,0.7583333333333333,0.7483333333333333,18.733333333333334,14.533333333333333,0.12080409314820201,-0.08618098007765768,-0.010000000000000009,-4.2
20,0.1,0.2,15,49.333333333333336,37.266666666666666,0.36364659049114667,0.1844529239077302,0.7716666666666666,0.765,27.266666666666666,15.8,0.23452058809080736,-0.17919366658341648,-0.006666666666666669,-11.466666666666667
20,0.1,0.3,15,43.4,34.46666666666667,0.30863804317205745,0.1597548289202001,0.7416666666666667,0.7333333333333333,23.733333333333334,15.6,0.1971466705713781,-0.14888321425185733,-0.008333333333333325,-8.133333333333333
20,0.1,0.4,15,38.4,32.6,0.2588728943546378,0.15140239432208577,0.7100000000000001,0.7016666666666667,21.333333333333332,16.266666666666666,0.1462496779659276,-0.10747050003255201,-0.00833333333333334,-5.066666666666666
20,0.2,0.2,15,47.0,36.666666666666664,0.3751068944033531,0.2322891221114461,0.7100000000000001,0.705,29.866666666666667,20.0,0.20153266061383537,-0.142817772291907,-0.0050000000000000044,-9.866666666666667
20,0.2,0.3,15,41.6,34.333333333333336,0.32889393230886305,0.21471779507276464,0.6833333333333333,0.6766666666666666,26.666666666666668,20.066666666666666,0.1648322901639748,-0.11417613723609846,-0.006666666666666665,-6.6
20,0.2,0.4,15,37.46666666666667,31.866666666666667,0.2878735547151338,0.19133251827470893,0.6549999999999999,0.645,24.866666666666667,20.133333333333333,0.14253118996568823,-0.09654103644042492,-0.010000000000000009,-4.733333333333333
