variable,R2_from_other_continuous,VIF
productive_days_rate,0.9999972187574403,359551.52365682827
nonproductive_days,0.9999972185238294,359521.3256062593
Born_alive_avg,0.9979214564283401,481.1061041176046
Total_born_avg,0.9968458608190381,317.04371387157664
prenatal_losses_avg,0.9957732315184955,236.5873608587276
Mummies_avg,0.992629866638827,135.68275511378897
Stillborn_avg,0.9884509490883273,86.58720163656865
final_inventory,0.9858796341231824,70.81969466823573
number_services,0.9847466471688096,65.55935675697309
mated_inventory_20wks,0.9664149298275823,29.775135048586723
services_per_inventory_N_rate,0.8778652321357321,8.18767675647716
avg_parity_at_farrow,0.7996924915031198,4.992324089616317
Avg_parity_farrow,0.7785308991889114,4.515302569693422
Farrowing__rate,0.5735103690435314,2.3447228898797516
PWMFyear,0.507418456576707,2.0301207248860806
repeats__rate,0.47551145041046694,1.9066193166325636
pregnant_105days_rate,0.4673674508519633,1.8774669358820315
gilts_bred_rate,0.4355496684045834,1.771635065167743
Litters_female_year,0.41873505485342566,1.7203858728274686
Gestation_days,0.4151485289604837,1.709835829296279
wean_to_service,0.3508241951378108,1.5404147728707878
Last_week_wean_bred_rate,0.33733274861113516,1.5090529944012314
Interval_farrows,0.27089393404339857,1.3715425597069755
mortality_60days,0.24451001869337707,1.3236442901208247
abortions_rate,0.22742115076880687,1.2943662656505774
Lactation_days,0.22078696786237328,1.2833460924757445
Sow_Death_rate,0.1679704141683691,1.2018803381859062
HeadIn,0.15068054392920027,1.1774132722995567
Cull_rate_annual,0.11565492948141254,1.130780317929054
PWSow,0.10718957427562392,1.120058605037745
Pre_weaning_mortality,0.03206454699838779,1.0331267409401672
