abs_r,r,var1,var2
0.9999985734263662,-0.9999985734263662,nonproductive_days,productive_days_rate
0.9753061494890631,0.9753061494890631,mated_inventory_20wks,final_inventory
0.9456888857071207,0.9456888857071207,number_services,final_inventory
0.9224741575802625,0.9224741575802625,mated_inventory_20wks,number_services
0.8694500918122373,0.8694500918122373,Avg_parity_farrow,avg_parity_at_farrow
0.7453092422994336,0.7453092422994336,Total_born_avg,Born_alive_avg
0.7431476067288126,0.7431476067288126,Mummies_avg,prenatal_losses_avg
0.6306737584341003,0.6306737584341003,Stillborn_avg,prenatal_losses_avg
0.6208413687313937,0.6208413687313937,Litters_female_year,PWMFyear
0.6078969127210938,-0.6078969127210938,Mummies_avg,Born_alive_avg
0.5961325901582722,0.5961325901582722,pregnant_105days_rate,Farrowing__rate
0.5311337824270635,-0.5311337824270635,prenatal_losses_avg,Born_alive_avg
0.4730437832778037,0.4730437832778037,productive_days_rate,Farrowing__rate
0.4729917375101991,-0.4729917375101991,nonproductive_days,Farrowing__rate
0.47219015037083295,-0.47219015037083295,repeats__rate,Farrowing__rate
0.46660675661648865,-0.46660675661648865,productive_days_rate,repeats__rate
0.4665927404043444,0.4665927404043444,nonproductive_days,repeats__rate
0.4389722170053802,-0.4389722170053802,PWMFyear,pregnant_105days_rate
0.42008686596311196,-0.42008686596311196,wean_to_service,productive_days_rate
0.4200755011762397,0.4200755011762397,nonproductive_days,wean_to_service
0.41227187763796724,0.41227187763796724,wean_to_service,repeats__rate
0.37715516864002563,-0.37715516864002563,wean_to_service,Last_week_wean_bred_rate
0.3720080461404836,0.3720080461404836,Born_alive_avg,Farrowing__rate
0.3575847856314209,0.3575847856314209,services_per_inventory_N_rate,gilts_bred_rate
0.35692319034107817,-0.35692319034107817,mated_inventory_20wks,gilts_bred_rate
0.34432694383084045,-0.34432694383084045,Mummies_avg,Farrowing__rate
0.3442951531831791,0.3442951531831791,Total_born_avg,Gestation_days
0.34330448959870213,-0.34330448959870213,PWMFyear,Interval_farrows
0.3378852748755306,0.3378852748755306,repeats__rate,Lactation_days
0.3312768236765657,0.3312768236765657,Mummies_avg,repeats__rate
0.3278999932867173,-0.3278999932867173,PWMFyear,Farrowing__rate
0.32509548375979286,-0.32509548375979286,Born_alive_avg,mortality_60days
0.31819238874123296,-0.31819238874123296,productive_days_rate,mortality_60days
0.3181820266287422,0.3181820266287422,nonproductive_days,mortality_60days
0.3136624477165793,0.3136624477165793,nonproductive_days,abortions_rate
0.31364168758794814,-0.31364168758794814,abortions_rate,productive_days_rate
0.3115378391263542,-0.3115378391263542,Litters_female_year,Interval_farrows
0.30570778003602794,-0.30570778003602794,repeats__rate,pregnant_105days_rate
0.3029371450735847,0.3029371450735847,mated_inventory_20wks,HeadIn
0.3014963956649189,-0.3014963956649189,wean_to_service,Farrowing__rate
0.2991155655982585,-0.2991155655982585,Litters_female_year,pregnant_105days_rate
0.29811740363067896,-0.29811740363067896,gilts_bred_rate,final_inventory
0.29511134893001373,0.29511134893001373,Born_alive_avg,productive_days_rate
0.29506170718406693,-0.29506170718406693,nonproductive_days,Born_alive_avg
0.29491741497856966,-0.29491741497856966,Born_alive_avg,repeats__rate
0.29279194914690304,-0.29279194914690304,Litters_female_year,Farrowing__rate
0.2896726758359316,0.2896726758359316,final_inventory,HeadIn
0.28583460569809294,0.28583460569809294,repeats__rate,mortality_60days
0.2836706632431894,0.2836706632431894,abortions_rate,mortality_60days
0.2832454873854902,0.2832454873854902,productive_days_rate,Last_week_wean_bred_rate
